index,full_sentence,cloze_probability,dataset,CoRT_mean,CoRT_std,condition,target_word,random_word
660,He|knew|about|the|prank|they|were|trying|to|pull,0.8,peele,1.4,0.5477225575051661,non-CoRT,pull,bat
719,Her|left|hand|was|freezing|after|she|lost|her|glove,0.8,peele,4.4,0.5477225575051661,CoRT,glove,shivered
866,Jake|hated|the|game|and|he|said|it|wasn't|fair,0.44,peele,1.4,0.5477225575051661,non-CoRT,fair,salt
964,Kyle|carefully|scooped|the|honey|out|of|the|jar,0.5,peele,4.6,0.5477225575051661,CoRT,jar,snow
1015,"Married|to|a|duchess,|Max|earned|the|title|of|duke",0.88,peele,1.6,0.5477225575051661,non-CoRT,duke,survive
1160,"Over|the|summer,|the|boys|went|swimming|at|the|lake",0.5,peele,4.4,0.5477225575051661,CoRT,lake,bruise
1166,Patrick|did|not|think|Kayla|was|worth|fighting|for,0.8,peele,1.4,0.5477225575051661,non-CoRT,for,will
1207,Robert|reached|into|the|cabinet|for|a|bottle|of|wine,0.32,peele,4.6,0.5477225575051661,CoRT,wine,hive
1273,She|learned|that|the|waves|depended|on|the|moon,0.36,peele,1.4,0.5477225575051661,non-CoRT,moon,cry
1338,Spaghetti|is|the|girl's|favorite|type|of|food,0.49,peele,1.6,0.5477225575051661,non-CoRT,food,relax
1356,Summer|vacation|is|a|time|to|lounge|around|and|relax,0.62,peele,1.5,0.5477225575051661,non-CoRT,relax,dare
1367,Terry|thought|the|shirt|was|bland|because|it|was|white,0.44,peele,1.4,0.5477225575051661,non-CoRT,white,search
1425,The|baby's|face|puckered|when|she|ate|something|sour,0.94,peele,4.5,0.5477225575051661,CoRT,sour,sew
1595,The|crowd|became|rowdy|after|drinking|too|much|sweet|wine,0.32,peele,4.6,0.5477225575051661,CoRT,wine,cry
1718,The|fisherman|easily|put|the|bait|on|the|hook,0.93,peele,4.4,0.5477225575051661,CoRT,hook,hole
1852,The|landscaper|cleared|the|lawn|of|leaves|with|the|rake,0.54,peele,4.6,0.5477225575051661,CoRT,rake,teach
1869,The|lion|wasn't|fullcub,0.86,peele,1.4,0.5477225575051661,non-CoRT,fullcub,walls
2148,The|sweater|was|not|worn|much|because|it|collected|lint,0.53,block_baldwin,1.5,0.5477225575051661,non-CoRT,lint,laugh
2210,The|two|young|brothers'|least|favorite|drink|was|milk,0.38,peele,1.6,0.5477225575051661,non-CoRT,milk,try
2252,The|woman|said|she|thought|Joe|loved|her|too|much,0.96,peele,1.6,0.5477225575051661,non-CoRT,much,fail
2309,They|found|it|difficult|to|remember|what|had|been|said,0.54,peele,1.4,0.5477225575051661,non-CoRT,said,task
2338,They|were|worried|because|the|timing|had|to|be|perfect,0.67,peele,1.6,0.5477225575051661,non-CoRT,perfect,huff
2352,Timmy|couldn't|wait|to|hang|out|at|the|mall,0.32,peele,1.6,0.5477225575051661,non-CoRT,mall,battery
2437,Tom|carefully|searched|for|a|bolt|of|the|right|size,0.56,peele,4.4,0.5477225575051661,CoRT,size,note
2486,"When|Joel|twisted|his|ankle,|he|began|to|cry",0.37,peele,4.5,0.5477225575051661,CoRT,cry,wander
2512,"When|fishing,|Reese|always|used|his|lucky|lure",0.32,peele,1.6,0.5477225575051661,non-CoRT,lure,leash
4,"A|crowd|formed|at|the|beach,|curious|about|the|whale",0.46,peele,4.6,0.5477225575051662,CoRT,whale,hook
17,A|plant's|roots|can|extract|nutrients|from|the|soil,0.72,peele,1.6,0.5477225575051662,non-CoRT,soil,sun
35,"After|Chris|dropped|bread|in|the|water,|it|became|soggy",0.78,peele,4.6,0.5477225575051662,CoRT,soggy,cry
70,"After|filling|the|bowl|with|cereal,|Josh|added|milk",0.87,peele,4.6,0.5477225575051662,CoRT,milk,huff
158,Alexander|just|knew|that|he|would|win|the|big|prize,0.32,peele,1.6,0.5477225575051662,non-CoRT,prize,steep
223,"As|Jill|felt|the|sharp|pain,|she|began|to|cry",0.46,peele,4.6,0.5477225575051662,CoRT,cry,taste
251,At|the|beach|Sammy's|sandwich|was|snatched|by|a|seagull,0.56,peele,4.6,0.5477225575051662,CoRT,seagull,robe
262,"At|the|landfill,|Fred|cut|himself|on|a|rusty|nail",0.66,peele,4.4,0.5477225575051662,CoRT,nail,name
339,"Brad|wasn't|completely|sure,|but|something|just|felt|wrong",0.57,peele,1.6,0.5477225575051662,non-CoRT,wrong,doubts
678,He|turned|to|see|the|dog|charging|like|a|bull,0.83,peele,4.4,0.5477225575051662,CoRT,bull,ditch
730,His|favorite|place|to|relax|is|on|the|beach,0.41,peele,1.4,0.5477225575051662,non-CoRT,beach,raise
759,If|Alex|drifts|off|he|should|really|take|a|nap,0.79,peele,1.6,0.5477225575051662,non-CoRT,nap,times
790,In|the|evening|grandpa|smokes|using|his|pipe,0.96,peele,4.4,0.5477225575051662,CoRT,pipe,glove
801,"In|the|past,|the|military|only|enlisted|men",0.88,peele,1.4,0.5477225575051662,non-CoRT,men,sour
940,Karen|shrieked|when|she|discovered|the|dead|mouse,0.36,peele,4.4,0.5477225575051662,CoRT,mouse,mush
957,Kevin|frowned|when|he|awoke|and|the|light|was|on,0.55,peele,4.6,0.5477225575051662,CoRT,on,men
989,Lucy|hid|Liam's|presents|so|he|had|to|carefully|search,0.46,peele,4.6,0.5477225575051662,CoRT,search,stars
1004,Many|women|are|very|conscious|of|their|weight,0.32,peele,1.4,0.5477225575051662,non-CoRT,weight,tongue
1043,Michael|was|sure|of|who|would|win|so|he|bet,0.53,peele,1.6,0.5477225575051662,non-CoRT,bet,corner
1065,"Most|people,|when|they|eat|fruit,|don't|eat|the|seeds",0.31,peele,1.6,0.5477225575051662,non-CoRT,seeds,silk
1089,Nicole|hung|the|wall|painting|using|a|small|nail,0.69,peele,4.4,0.5477225575051662,CoRT,nail,pencil
1103,Noah|started|crying|when|the|baseball|hit|his|head,0.41,peele,4.6,0.5477225575051662,CoRT,head,decision
1179,Phil|restarted|the|stalled|lawn|mower|with|a|strong|pull,0.73,peele,4.6,0.5477225575051662,CoRT,pull,due
1335,"Soon|after|Janice|stepped|on|the|wet|floor,|she|slipped",0.82,peele,4.6,0.5477225575051662,CoRT,slipped,chalk
1344,"Staring|blankly|out|the|window,|Nick|let|his|eyes|wander",0.64,peele,4.6,0.5477225575051662,CoRT,wander,lipstick
1457,The|body|builder's|arm|muscles|were|extremely|large,0.4,peele,1.6,0.5477225575051662,non-CoRT,large,fullcub
1460,The|boss|kept|his|employees|on|a|short|leash,0.93,peele,1.4,0.5477225575051662,non-CoRT,leash,alone
1481,The|boys|already|knew|it|was|wrong|to|steal,0.39,peele,1.4,0.5477225575051662,non-CoRT,steal,bird
1578,The|couple|needed|an|apartment|at|a|good|price,0.73,peele,1.4,0.5477225575051662,non-CoRT,price,mace
1648,The|driver|was|unsure|what|pushing|that|button|did,0.7,peele,1.6,0.5477225575051662,non-CoRT,did,phase
1702,The|fat|cat|lazily|swatted|at|the|small|mouse,0.38,peele,4.4,0.5477225575051662,CoRT,mouse,shift
1719,The|fisherman|lifted|the|heavy|fish|using|his|sharp|hook,0.53,peele,4.6,0.5477225575051662,CoRT,hook,hook
1843,The|kids'|favorite|type|of|lunch|meat|is|smoked|ham,0.7,peele,1.4,0.5477225575051662,non-CoRT,ham,batch
1914,The|market|does|not|provide|customers|with|a|shopping|cart,0.52,peele,1.6,0.5477225575051662,non-CoRT,cart,sour
2035,The|raging|horse|kicked|the|stable|worker|with|its|hoof,0.59,peele,4.6,0.5477225575051662,CoRT,hoof,run
2040,The|ranch|workers|were|startled|by|the|charging|angry|bull,0.72,peele,4.6,0.5477225575051662,CoRT,bull,sour
2048,The|restaurant|made|millions|with|its|famous|secret|recipe,0.49,peele,1.6,0.5477225575051662,non-CoRT,recipe,hour
2096,"The|simple,|fun|camp|game|soon|escalated|into|a|fight",0.5,peele,4.4,0.5477225575051662,CoRT,fight,dug
2184,The|toddler|jumped|but|the|jar|was|out|of|reach,0.82,peele,4.6,0.5477225575051662,CoRT,reach,lint
2241,The|wolf|blew|the|house|down|with|one|final|blow,0.46,peele,4.4,0.5477225575051662,CoRT,blow,wrath
2301,They|broke|into|the|store|and|began|to|steal,0.42,peele,4.6,0.5477225575051662,CoRT,steal,high
2585,While|eating|the|peanuts|Gary|began|to|choke,0.57,peele,4.4,0.5477225575051662,CoRT,choke,core
2595,"While|in|the|basement,|Alexis|caught|and|killed|a|rat",0.35,peele,4.6,0.5477225575051662,CoRT,rat,for
2611,Winston's|prized|chess|set|was|missing|a|piece,0.43,peele,1.6,0.5477225575051662,non-CoRT,piece,nails
939,Karen|realized|she|had|stepped|in|a|pile|of|poop,0.49,peele,4.6,0.5477225575051663,CoRT,poop,sail
1822,The|ink|flowed|steadily|from|the|fountain|pen's|tip,0.51,peele,4.6,0.5477225575051663,CoRT,tip,blouse
1946,The|museum|curator|placed|the|sculpture|back|in|its|place,0.52,peele,4.6,0.5477225575051663,CoRT,place,cherry
2242,The|wolves|approached|the|campsite|in|a|pack,0.5,peele,4.4,0.5477225575051663,CoRT,pack,mouse
2556,"When|the|opposing|team|entered,|the|fans|started|to|boo",0.73,peele,4.4,0.5477225575051663,CoRT,boo,jazz
28,Abby|stuck|his|picture|to|her|wall|with|a|tack,0.46,peele,4.333333333333333,0.5773502691896257,CoRT,tack,bark
126,"After|the|clumsy|woman|fell,|the|crowd|began|to|laugh",0.52,peele,4.5,0.5773502691896257,CoRT,laugh,yard
162,"Ali|disliked|her|boss,|a|man|she|had|come|to|hate",0.34,peele,1.5,0.5773502691896257,non-CoRT,hate,pope
204,Andrew's|favorite|type|of|fruit|is|the|apple,0.31,peele,1.6666666666666667,0.5773502691896257,non-CoRT,apple,merge
229,"As|night|fell,|all|of|the|dogs|began|to|howl",0.44,peele,4.5,0.5773502691896257,CoRT,howl,roar
277,Barb|pulled|her|sleeve|back|to|reveal|a|big|bruise,0.39,peele,4.5,0.5773502691896257,CoRT,bruise,apple
326,Bill|jumped|in|the|lake|and|made|a|big|splash,0.92,block_baldwin,4.666666666666667,0.5773502691896257,CoRT,splash,learn
445,"Down|to|two|colleges,|Russell|still|couldn't|make|a|decision",0.71,peele,1.5,0.5773502691896257,non-CoRT,decision,milk
503,Elle|got|behind|the|stalled|car|and|began|to|push,0.87,peele,4.5,0.5773502691896257,CoRT,push,chief
521,Even|more|than|the|cookies|Davis|liked|the|cake,0.46,peele,1.5,0.5773502691896257,non-CoRT,cake,cloth
554,Everyone|who|knew|him|said|he|had|a|big|heart,0.49,peele,1.5,0.5773502691896257,non-CoRT,heart,tack
626,Greta|quickly|woke|after|Jess|gave|her|a|painful|pinch,0.39,peele,4.5,0.5773502691896257,CoRT,pinch,cry
667,He|promised|everyone|but|they|still|had|doubts,0.52,peele,1.5,0.5773502691896257,non-CoRT,doubts,load
679,He|used|his|skateboard|to|grind|along|the|rails,0.38,peele,4.5,0.5773502691896257,CoRT,rails,charge
698,"Heidi|loves|Georgia,|because|her|favorite|fruit|is|the|peach",0.93,peele,1.5,0.5773502691896257,non-CoRT,peach,chick
734,His|mother|cautioned|him|about|letting|the|bananas|rot,0.38,peele,1.5,0.5773502691896257,non-CoRT,rot,tire
785,In|the|bathroom|Aubrey|slipped|and|fell|in|the|tub,0.66,peele,4.5,0.5773502691896257,CoRT,tub,fan
798,"In|the|morning,|Kathy|hoped|that|the|birds|wouldn't|chirp",0.39,peele,1.5,0.5773502691896257,non-CoRT,chirp,tub
910,Jo|can|never|decide|what|food|to|eat,0.62,peele,1.5,0.5773502691896257,non-CoRT,eat,crowd
927,Judith|wanted|her|grandma|to|teach|her|how|to|sew,0.41,peele,1.5,0.5773502691896257,non-CoRT,sew,sweet
963,Kristin|did|not|like|the|healthy|smoothie's|taste,0.62,peele,1.5,0.5773502691896257,non-CoRT,taste,cloth
1008,Margie|has|the|time|management|skills|that|many|students|lack,0.57,peele,1.5,0.5773502691896257,non-CoRT,lack,eat
1019,Martin|was|so|exhausted|he|fell|onto|his|bed,0.56,peele,4.5,0.5773502691896257,CoRT,bed,wine
1079,Nate|doesn't|make|big|decisions|before|giving|them|thought,0.74,peele,1.5,0.5773502691896257,non-CoRT,thought,taste
1239,"Satisfied|with|his|dinner,|Harold|let|out|a|huge|burp",0.36,peele,4.5,0.5773502691896257,CoRT,burp,push
1301,She|wasn't|certain|she'd|find|him|but|she|would|try,0.81,peele,1.5,0.5773502691896257,non-CoRT,try,score
1369,"Terry|wanted|to|skip|school,|but|she|wouldn't|dare",0.43,peele,1.5,0.5773502691896257,non-CoRT,dare,fight
1396,The|angry|chicken|gave|the|farmer|a|sharp|peck,0.83,peele,4.5,0.5773502691896257,CoRT,peck,hair
1426,The|baby's|ice|cream|was|snatched|up|by|the|dog,0.47,peele,4.5,0.5773502691896257,CoRT,dog,perfect
1430,The|baseball|hit|the|batter's|chest|and|broke|his|ribs,0.7,peele,4.5,0.5773502691896257,CoRT,ribs,wall
1443,The|best|way|to|travel|at|sea|is|to|sail,0.43,peele,1.5,0.5773502691896257,non-CoRT,sail,cry
1444,The|big|friendly|dog|wetted|her|face|with|his|tongue,0.7,peele,4.5,0.5773502691896257,CoRT,tongue,did
1509,The|cardinals|wondered|which|of|them|would|become|the|pope,0.5,peele,1.5,0.5773502691896257,non-CoRT,pope,year
1663,The|enemies|stormed|the|castle|despite|the|protective|moat,0.39,peele,4.5,0.5773502691896257,CoRT,moat,blue
1685,The|fans|cheered|when|the|baseball|player|went|to|bat,0.5,peele,4.333333333333333,0.5773502691896257,CoRT,bat,bean
1796,The|host|made|the|whole|room|dance|an|energetic|jig,0.37,peele,4.5,0.5773502691896257,CoRT,jig,much
1867,The|lightning|struck|and|the|whole|building|shook,0.7,peele,4.5,0.5773502691896257,CoRT,shook,tongue
1891,The|man|added|tonic|water|to|his|glass|of|gin,0.55,peele,4.5,0.5773502691896257,CoRT,gin,instructions
1910,The|manager|thought|Cheryl|was|the|right|person|to|hire,0.42,peele,1.5,0.5773502691896257,non-CoRT,hire,rake
1912,The|marathon|runners|struggled|through|the|last|mile,0.62,peele,4.5,0.5773502691896257,CoRT,mile,hook
1930,The|monument|was|the|largest|constructed|to|date,0.73,peele,1.5,0.5773502691896257,non-CoRT,date,pull
2014,The|postman|walked|up|and|handed|the|man|his|mail,0.72,peele,4.5,0.5773502691896257,CoRT,mail,pipe
2097,The|sitcom|repeatedly|used|the|same|running|joke,0.43,peele,1.5,0.5773502691896257,non-CoRT,joke,league
2122,The|stable|was|home|to|Rick's|favorite|horse,0.89,peele,1.5,0.5773502691896257,non-CoRT,horse,recipe
2144,The|students'|preferred|writing|utensil|was|a|pencil,0.49,peele,1.5,0.5773502691896257,non-CoRT,pencil,walk
2181,The|toddler|covered|the|walls|with|her|mother's|lipstick,0.48,peele,4.5,0.5773502691896257,CoRT,lipstick,machine
2182,"The|toddler|enjoyed|feeding|bread|to|the|fat,|white|duck",0.5,peele,4.5,0.5773502691896257,CoRT,duck,art
2203,The|tribe|respected|the|girl|because|her|father|was|chief,0.53,peele,1.5,0.5773502691896257,non-CoRT,chief,leash
2218,The|unstable|beam|struck|the|construction|worker|on|the|head,0.68,peele,4.5,0.5773502691896257,CoRT,head,wag
2250,The|woman|said|every|girl|should|carry|mace,0.56,peele,1.6666666666666667,0.5773502691896257,non-CoRT,mace,work
2262,The|woman|wasn't|sure|when|the|baby|was|due,0.53,peele,1.5,0.5773502691896257,non-CoRT,due,lake
2281,The|youth|baseball|team|was|ranked|first|in|the|league,0.36,peele,1.5,0.5773502691896257,non-CoRT,league,lock
2363,"To|avoid|hitting|her|head,|she|had|to|duck",0.85,peele,4.5,0.5773502691896257,CoRT,duck,boo
2380,To|enter|the|castle|she|rode|across|a|bridge,0.4,peele,4.5,0.5773502691896257,CoRT,bridge,peak
2407,"To|maximize|profits,|the|companies|decided|to|merge",0.37,peele,1.5,0.5773502691896257,non-CoRT,merge,iceberg
2470,Wade|spotted|the|incoming|ball|and|was|able|to|duck,0.36,peele,4.5,0.5773502691896257,CoRT,duck,drive
2529,"When|nervous,|Julie|would|sometimes|bite|her|nails",0.51,peele,1.5,0.5773502691896257,non-CoRT,nails,horse
2533,When|sailing|one|must|be|mindful|of|the|wind,0.67,peele,1.6666666666666667,0.5773502691896257,non-CoRT,wind,piece
159,Alexander|placed|the|car|key|in|the|ignition,0.52,peele,4.333333333333333,0.5773502691896258,CoRT,ignition,pace
224,As|Shelley|walked|up|the|mountain|trail|it|became|steep,0.67,block_baldwin,4.5,0.5773502691896258,CoRT,steep,bet
300,Before|placing|each|brick|he|applied|a|glob|of|cement,0.46,peele,4.666666666666667,0.5773502691896258,CoRT,cement,chirp
922,Jordan|learned|a|lot|about|cars|from|his|dad,0.45,peele,1.3333333333333333,0.5773502691896258,non-CoRT,dad,rot
1131,"On|the|lawn,|Patrick|tripped|where|the|dog|had|dug",0.31,peele,4.5,0.5773502691896258,CoRT,dug,mall
2066,The|rotten|fruit|had|turned|into|a|soft|mush,0.7,peele,4.5,0.5773502691896258,CoRT,mush,mouth
2090,The|ship's|passengers|panicked|after|damage|to|the|hull,0.6,peele,4.5,0.5773502691896258,CoRT,hull,trails
2128,The|stench|of|the|dumpster|made|the|passerby|gag,0.35,peele,4.5,0.5773502691896258,CoRT,gag,work
2137,The|strong|winds|prevented|Jillian|from|flying|her|kite,0.91,peele,4.666666666666667,0.5773502691896258,CoRT,kite,league
2206,The|truck|lost|control|and|swerved|into|the|ditch,0.69,block_baldwin,4.666666666666667,0.5773502691896258,CoRT,ditch,baby
724,His|boss|refused|to|give|him|a||raise,0.87,block_baldwin,1.8571428571428572,0.6900655593423541,non-CoRT,raise,duck
755,I|would|drive|but|my|car|is|low|on|gas,0.9,block_baldwin,1.8571428571428572,0.6900655593423541,non-CoRT,gas,soil
146,"After|waiting|three|hours,|Cal|whined|and|started|to|cry",0.5,peele,4.166666666666667,0.752772652709081,CoRT,cry,tea
662,He|lay|down|and|went|to|sleep,0.76,block_baldwin,4.166666666666667,0.752772652709081,CoRT,sleep,crazy
1275,She|lived|in|sunny|Florida|and|never|saw|falling|snow,0.72,block_baldwin,1.8333333333333333,0.752772652709081,non-CoRT,snow,rent
2362,To|afford|a|new|car|Tim|got|a||loan,0.71,block_baldwin,1.8333333333333333,0.752772652709081,non-CoRT,loan,hoof
2036,The|rain|this|year|cause|the|farmer|to|have|a|poor|crop,0.81,block_baldwin,1.7142857142857142,0.7559289460184544,non-CoRT,crop,vomit
314,Benny|tried|to|make|a|keep|a|new|resolution|each|year,0.9,block_baldwin,1.7142857142857142,0.7559289460184545,non-CoRT,year,lawn
611,George|must|keep|his|pet|on|a||leash,0.9,block_baldwin,1.7142857142857142,0.7559289460184545,non-CoRT,leash,wild
1958,The|new|officer|was|of|a|higher|rank,0.81,block_baldwin,1.2857142857142858,0.7559289460184545,non-CoRT,rank,price
891,Jenny|was|creative|and|loved|to|study|art,0.82,block_baldwin,1.5714285714285714,0.7867957924694431,non-CoRT,art,pinch
571,For|breakfast|Jim|wanted|bacon|and|eggs,0.91,block_baldwin,1.4285714285714286,0.7867957924694432,non-CoRT,eggs,cry
663,He|liked|lemon|and|sugar|in|his|tea,0.81,block_baldwin,1.4285714285714286,0.7867957924694432,non-CoRT,tea,hint
681,He|was|afraid|to|work|the|night|shift,0.9,block_baldwin,1.4285714285714286,0.7867957924694432,non-CoRT,shift,queen
800,In|the|night|sky|it|is|easier|to|see|all|the|stars,0.94,block_baldwin,1.4285714285714286,0.7867957924694432,non-CoRT,stars,fall
998,Many|commuters|complain|about|the|price|of|gas,0.88,block_baldwin,1.5714285714285714,0.7867957924694432,non-CoRT,gas,snow
1266,She|graduated|at|the|top|of|her|class,0.95,block_baldwin,1.5714285714285714,0.7867957924694432,non-CoRT,class,prize
1447,The|bill|was|due|at|the|end|of|the||month,0.76,block_baldwin,1.5714285714285714,0.7867957924694432,non-CoRT,month,duck
2022,The|princess|would|someday|become|a|queen,0.93,block_baldwin,1.4285714285714286,0.7867957924694432,non-CoRT,queen,bite
136,"After|the|mother|left,|the|baby|began|to|loudly|cry",0.75,peele,4.333333333333333,0.8164965809277259,CoRT,cry,steal
1054,Molly|stubbed|her|big|toe|and|she|began|to|cry,0.65,peele,4.333333333333333,0.8164965809277259,CoRT,cry,country
2537,When|she|lost|her|doll|the|girl|began|to|cry,0.84,peele,4.333333333333333,0.8164965809277259,CoRT,cry,hand
2561,"When|the|robber|trapped|Dorothy,|she|began|to|cry",0.37,peele,4.333333333333333,0.8164965809277259,CoRT,cry,relax
148,After|watching|some|baseball|games|she|became|a|fan,0.8,peele,1.6666666666666667,0.816496580927726,non-CoRT,fan,castle
